Date : 2025-11-02 01:39:40
Directory : /home/paradise/tiny-lsm
Total : 373 files,  77916 codes, 5495 comments, 17436 blanks, all 100847 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/paradise/tiny-lsm/toml11/docs/content.en/docs/reference/source_location.md | Markdown     |        157 |          0 |         79 |        236 |
| /home/paradise/tiny-lsm/toml11/docs/content.en/docs/reference/spec.md            | Markdown     |        202 |          0 |        108 |        310 |
| /home/paradise/tiny-lsm/toml11/docs/content.en/docs/reference/toml.md            | Markdown     |          9 |          0 |          5 |         14 |
| /home/paradise/tiny-lsm/toml11/docs/content.en/docs/reference/toml_fwd.md        | Markdown     |         11 |          0 |          8 |         19 |
| /home/paradise/tiny-lsm/toml11/docs/content.en/docs/reference/types.md           | Markdown     |        109 |          0 |         48 |        157 |
| /home/paradise/tiny-lsm/toml11/docs/content.en/docs/reference/value.md           | Markdown     |        636 |          0 |        278 |        914 |
| /home/paradise/tiny-lsm/toml11/docs/content.en/docs/reference/value_t.md         | Markdown     |         39 |          0 |         13 |         52 |
| /home/paradise/tiny-lsm/toml11/docs/content.en/docs/reference/version.md         | Markdown     |         23 |          0 |         15 |         38 |
| /home/paradise/tiny-lsm/toml11/docs/content.en/docs/reference/visit.md           | Markdown     |         46 |          0 |         16 |         62 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/_index.md                         | Markdown     |         14 |          0 |         12 |         26 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/changelog/_index.md          | Markdown     |        293 |          0 |        144 |        437 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/features/_index.md           | Markdown     |         66 |          0 |         36 |        102 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/features/configure_types.md  | Markdown     |        171 |          0 |         54 |        225 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/features/error_message.md    | Markdown     |        186 |          0 |         52 |        238 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/features/extension.md        | Markdown     |         94 |          0 |         43 |        137 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/features/literal.md          | Markdown     |         65 |          0 |         29 |         94 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/features/parsing_files.md    | Markdown     |        215 |          0 |         71 |        286 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/features/serialize.md        | Markdown     |        164 |          0 |         71 |        235 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/features/toml_spec.md        | Markdown     |         81 |          0 |         36 |        117 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/features/value.md            | Markdown     |        671 |          0 |        263 |        934 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/installation/_index.md       | Markdown     |        109 |          0 |         45 |        154 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/_index.md          | Markdown     |         67 |          0 |         58 |        125 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/color.md           | Markdown     |        113 |          0 |         38 |        151 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/comments.md        | Markdown     |        525 |          0 |        249 |        774 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/conversion.md      | Markdown     |         25 |          0 |          9 |         34 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/datetime.md        | Markdown     |        523 |          0 |        257 |        780 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/error_info.md      | Markdown     |        100 |          0 |         52 |        152 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/exception.md       | Markdown     |         29 |          0 |         13 |         42 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/find.md            | Markdown     |        169 |          0 |         83 |        252 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/format.md          | Markdown     |        474 |          0 |        192 |        666 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/from.md            | Markdown     |         42 |          0 |         14 |         56 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/get.md             | Markdown     |        296 |          0 |        149 |        445 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/into.md            | Markdown     |         44 |          0 |         14 |         58 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/literal.md         | Markdown     |         61 |          0 |         23 |         84 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/ordered_map.md     | Markdown     |        245 |          0 |        126 |        371 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/parser.md          | Markdown     |        275 |          0 |        117 |        392 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/result.md          | Markdown     |        367 |          0 |        163 |        530 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/serializer.md      | Markdown     |         49 |          0 |         18 |         67 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/source_location.md | Markdown     |        156 |          0 |         78 |        234 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/spec.md            | Markdown     |        207 |          0 |        108 |        315 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/toml.md            | Markdown     |          9 |          0 |          6 |         15 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/toml_fwd.md        | Markdown     |         16 |          0 |          9 |         25 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/types.md           | Markdown     |        107 |          0 |         48 |        155 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/value.md           | Markdown     |        635 |          0 |        279 |        914 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/value_t.md         | Markdown     |         40 |          0 |         15 |         55 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/version.md         | Markdown     |         23 |          0 |         15 |         38 |
| /home/paradise/tiny-lsm/toml11/docs/content.ja/docs/reference/visit.md           | Markdown     |         46 |          0 |         18 |         64 |
| /home/paradise/tiny-lsm/toml11/examples/CMakeLists.txt                           | CMake        |          6 |          0 |          1 |          7 |
| /home/paradise/tiny-lsm/toml11/examples/boost_container/CMakeLists.txt           | CMake        |          7 |          0 |          2 |          9 |
| /home/paradise/tiny-lsm/toml11/examples/boost_container/README.md                | Markdown     |          8 |          0 |          6 |         14 |
| /home/paradise/tiny-lsm/toml11/examples/boost_container/container.cpp            | C++          |         37 |          0 |         11 |         48 |
| /home/paradise/tiny-lsm/toml11/examples/boost_multiprecision/CMakeLists.txt      | CMake        |          7 |          0 |          2 |          9 |
| /home/paradise/tiny-lsm/toml11/examples/boost_multiprecision/README.md           | Markdown     |          8 |          0 |          6 |         14 |
| /home/paradise/tiny-lsm/toml11/examples/boost_multiprecision/multiprecision.cpp  | C++          |         44 |          0 |         12 |         56 |
| /home/paradise/tiny-lsm/toml11/examples/parse_file/CMakeLists.txt                | CMake        |         16 |          0 |          4 |         20 |
| /home/paradise/tiny-lsm/toml11/examples/parse_file/array_example.cpp             | C++          |        122 |          2 |         29 |        153 |
| /home/paradise/tiny-lsm/toml11/examples/parse_file/array_of_tables_example.cpp   | C++          |        101 |          2 |         33 |        136 |
| /home/paradise/tiny-lsm/toml11/examples/parse_file/key_example.cpp               | C++          |         54 |          2 |         19 |         75 |
| /home/paradise/tiny-lsm/toml11/examples/parse_file/spec_example.cpp              | C++          |         66 |          2 |         19 |         87 |
| /home/paradise/tiny-lsm/toml11/examples/reflect/CMakeLists.txt                   | CMake        |         16 |          0 |          3 |         19 |
| /home/paradise/tiny-lsm/toml11/examples/reflect/README.md                        | Markdown     |          8 |          0 |          6 |         14 |
| /home/paradise/tiny-lsm/toml11/examples/reflect/reflect.cpp                      | C++          |         29 |          0 |         10 |         39 |
| /home/paradise/tiny-lsm/toml11/examples/reflect/reflect.hpp                      | C++          |         54 |          0 |          8 |         62 |
| /home/paradise/tiny-lsm/toml11/examples/u8string/CMakeLists.txt                  | CMake        |          5 |          0 |          1 |          6 |
| /home/paradise/tiny-lsm/toml11/examples/u8string/u8string.cpp                    | C++          |         93 |          3 |         25 |        121 |
| /home/paradise/tiny-lsm/toml11/examples/unicode/CMakeLists.txt                   | CMake        |         11 |          0 |          5 |         16 |
| /home/paradise/tiny-lsm/toml11/examples/unicode/README.md                        | Markdown     |          9 |          0 |          7 |         16 |
| /home/paradise/tiny-lsm/toml11/examples/unicode/canonicalize.cpp                 | C++          |         63 |          1 |         16 |         80 |
| /home/paradise/tiny-lsm/toml11/include/toml.hpp                                  | C++          |         36 |         23 |          4 |         63 |
| /home/paradise/tiny-lsm/toml11/include/toml11/color.hpp                          | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/comments.hpp                       | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/compat.hpp                         | C++          |        680 |         23 |        156 |        859 |
| /home/paradise/tiny-lsm/toml11/include/toml11/context.hpp                        | C++          |         58 |          0 |         17 |         75 |
| /home/paradise/tiny-lsm/toml11/include/toml11/conversion.hpp                     | C++          |        158 |         23 |         32 |        213 |
| /home/paradise/tiny-lsm/toml11/include/toml11/datetime.hpp                       | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/error_info.hpp                     | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/exception.hpp                      | C++          |         17 |          0 |          6 |         23 |
| /home/paradise/tiny-lsm/toml11/include/toml11/find.hpp                           | C++          |        504 |         34 |         55 |        593 |
| /home/paradise/tiny-lsm/toml11/include/toml11/format.hpp                         | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/from.hpp                           | C++          |         12 |          6 |          4 |         22 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/color_fwd.hpp                  | C++          |         76 |          2 |         16 |         94 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/comments_fwd.hpp               | C++          |        345 |         39 |         71 |        455 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/datetime_fwd.hpp               | C++          |        208 |          6 |         53 |        267 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/error_info_fwd.hpp             | C++          |         78 |          3 |         21 |        102 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/format_fwd.hpp                 | C++          |        184 |         19 |         53 |        256 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/literal_fwd.hpp                | C++          |         26 |          3 |          8 |         37 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/location_fwd.hpp               | C++          |        118 |          4 |         32 |        154 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/region_fwd.hpp                 | C++          |         81 |          8 |         26 |        115 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/scanner_fwd.hpp                | C++          |        253 |         12 |        106 |        371 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/source_location_fwd.hpp        | C++          |         93 |         30 |         30 |        153 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/syntax_fwd.hpp                 | C++          |        285 |         31 |        104 |        420 |
| /home/paradise/tiny-lsm/toml11/include/toml11/fwd/value_t_fwd.hpp                | C++          |         94 |          5 |         23 |        122 |
| /home/paradise/tiny-lsm/toml11/include/toml11/get.hpp                            | C++          |        490 |         85 |         81 |        656 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/color_impl.hpp                | C++          |         73 |          1 |          6 |         80 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/comments_impl.hpp             | C++          |         44 |          0 |          7 |         51 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/datetime_impl.hpp             | C++          |        436 |         34 |         52 |        522 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/error_info_impl.hpp           | C++          |         65 |          0 |         15 |         80 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/format_impl.hpp               | C++          |        256 |         15 |         30 |        301 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/literal_impl.hpp              | C++          |        127 |         30 |         22 |        179 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/location_impl.hpp             | C++          |        188 |          0 |         25 |        213 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/region_impl.hpp               | C++          |        186 |         34 |         31 |        251 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/scanner_impl.hpp              | C++          |        402 |         16 |         59 |        477 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/source_location_impl.hpp      | C++          |        184 |          7 |         25 |        216 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/syntax_impl.hpp               | C++          |        746 |         57 |         91 |        894 |
| /home/paradise/tiny-lsm/toml11/include/toml11/impl/value_t_impl.hpp              | C++          |         38 |          0 |          7 |         45 |
| /home/paradise/tiny-lsm/toml11/include/toml11/into.hpp                           | C++          |         12 |          6 |          4 |         22 |
| /home/paradise/tiny-lsm/toml11/include/toml11/literal.hpp                        | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/location.hpp                       | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/ordered_map.hpp                    | C++          |        260 |          0 |         37 |        297 |
| /home/paradise/tiny-lsm/toml11/include/toml11/parser.hpp                         | C++          |      2,983 |        414 |        442 |      3,839 |
| /home/paradise/tiny-lsm/toml11/include/toml11/region.hpp                         | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/result.hpp                         | C++          |        411 |          9 |         71 |        491 |
| /home/paradise/tiny-lsm/toml11/include/toml11/scanner.hpp                        | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/serializer.hpp                     | C++          |      1,136 |         45 |        102 |      1,283 |
| /home/paradise/tiny-lsm/toml11/include/toml11/skip.hpp                           | C++          |        348 |         26 |         26 |        400 |
| /home/paradise/tiny-lsm/toml11/include/toml11/source_location.hpp                | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/spec.hpp                           | C++          |        153 |          2 |         20 |        175 |
| /home/paradise/tiny-lsm/toml11/include/toml11/storage.hpp                        | C++          |         33 |         10 |         11 |         54 |
| /home/paradise/tiny-lsm/toml11/include/toml11/syntax.hpp                         | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/traits.hpp                         | C++          |        229 |          6 |         36 |        271 |
| /home/paradise/tiny-lsm/toml11/include/toml11/types.hpp                          | C++          |        324 |         13 |         45 |        382 |
| /home/paradise/tiny-lsm/toml11/include/toml11/utility.hpp                        | C++          |        147 |          7 |         21 |        175 |
| /home/paradise/tiny-lsm/toml11/include/toml11/value.hpp                          | C++          |      2,245 |         85 |        184 |      2,514 |
| /home/paradise/tiny-lsm/toml11/include/toml11/value_t.hpp                        | C++          |          7 |          0 |          4 |         11 |
| /home/paradise/tiny-lsm/toml11/include/toml11/version.hpp                        | C++          |         94 |         22 |         28 |        144 |
| /home/paradise/tiny-lsm/toml11/include/toml11/visit.hpp                          | C++          |        123 |          0 |         18 |        141 |
| /home/paradise/tiny-lsm/toml11/include/toml_fwd.hpp                              | C++          |         69 |          2 |         21 |         92 |
| /home/paradise/tiny-lsm/toml11/single_include/toml.hpp                           | C++          |     14,929 |      1,195 |      2,304 |     18,428 |
| /home/paradise/tiny-lsm/toml11/src/CMakeLists.txt                                | CMake        |        183 |          0 |         14 |        197 |
| /home/paradise/tiny-lsm/toml11/src/color.cpp                                     | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/comments.cpp                                  | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/context.cpp                                   | C++          |         17 |          0 |          3 |         20 |
| /home/paradise/tiny-lsm/toml11/src/datetime.cpp                                  | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/error_info.cpp                                | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/format.cpp                                    | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/literal.cpp                                   | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/location.cpp                                  | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/parser.cpp                                    | C++          |         38 |          0 |          9 |         47 |
| /home/paradise/tiny-lsm/toml11/src/region.cpp                                    | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/scanner.cpp                                   | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/serializer.cpp                                | C++          |         35 |          0 |         10 |         45 |
| /home/paradise/tiny-lsm/toml11/src/skip.cpp                                      | C++          |         36 |          0 |          6 |         42 |
| /home/paradise/tiny-lsm/toml11/src/source_location.cpp                           | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/syntax.cpp                                    | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/src/types.cpp                                     | C++          |         14 |          0 |          3 |         17 |
| /home/paradise/tiny-lsm/toml11/src/value_t.cpp                                   | C++          |          4 |          0 |          2 |          6 |
| /home/paradise/tiny-lsm/toml11/tests/CMakeLists.txt                              | CMake        |        179 |          0 |          8 |        187 |
| /home/paradise/tiny-lsm/toml11/tests/test_accessed.cpp                           | C++          |         58 |          0 |         19 |         77 |
| /home/paradise/tiny-lsm/toml11/tests/test_comments.cpp                           | C++          |         17 |          0 |          5 |         22 |
| /home/paradise/tiny-lsm/toml11/tests/test_datetime.cpp                           | C++          |         98 |          0 |         21 |        119 |
| /home/paradise/tiny-lsm/toml11/tests/test_error_message.cpp                      | C++          |         66 |          0 |         14 |         80 |
| /home/paradise/tiny-lsm/toml11/tests/test_find.cpp                               | C++          |        894 |         51 |        163 |      1,108 |
| /home/paradise/tiny-lsm/toml11/tests/test_find_or.cpp                            | C++          |        654 |         10 |         95 |        759 |
| /home/paradise/tiny-lsm/toml11/tests/test_format_floating.cpp                    | C++          |        124 |          0 |         20 |        144 |
| /home/paradise/tiny-lsm/toml11/tests/test_format_integer.cpp                     | C++          |         96 |          0 |         16 |        112 |
| /home/paradise/tiny-lsm/toml11/tests/test_format_table.cpp                       | C++          |         61 |          0 |         18 |         79 |
| /home/paradise/tiny-lsm/toml11/tests/test_get.cpp                                | C++          |        491 |          7 |         84 |        582 |
| /home/paradise/tiny-lsm/toml11/tests/test_get_or.cpp                             | C++          |        310 |          0 |         38 |        348 |
| /home/paradise/tiny-lsm/toml11/tests/test_literal.cpp                            | C++          |        112 |          0 |         11 |        123 |
| /home/paradise/tiny-lsm/toml11/tests/test_location.cpp                           | C++          |         50 |          0 |         14 |         64 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse.cpp                              | C++          |         36 |          0 |         15 |         51 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse_array.cpp                        | C++          |        120 |          3 |         20 |        143 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse_boolean.cpp                      | C++          |         34 |          0 |         11 |         45 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse_datetime.cpp                     | C++          |        270 |          0 |         38 |        308 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse_floating.cpp                     | C++          |        143 |          0 |         25 |        168 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse_inline_table.cpp                 | C++          |        111 |          6 |         26 |        143 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse_integer.cpp                      | C++          |        137 |          1 |         16 |        154 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse_null.cpp                         | C++          |         70 |          0 |         21 |         91 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse_string.cpp                       | C++          |        216 |         18 |         39 |        273 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse_table.cpp                        | C++          |        131 |          0 |         35 |        166 |
| /home/paradise/tiny-lsm/toml11/tests/test_parse_table_keys.cpp                   | C++          |         86 |          0 |         20 |        106 |
| /home/paradise/tiny-lsm/toml11/tests/test_result.cpp                             | C++          |        134 |          0 |         15 |        149 |
| /home/paradise/tiny-lsm/toml11/tests/test_scanner.cpp                            | C++          |        132 |          0 |         39 |        171 |
| /home/paradise/tiny-lsm/toml11/tests/test_serialize.cpp                          | C++          |        103 |          6 |         42 |        151 |
| /home/paradise/tiny-lsm/toml11/tests/test_spec.cpp                               | C++          |         48 |          0 |         11 |         59 |
| /home/paradise/tiny-lsm/toml11/tests/test_storage.cpp                            | C++          |         53 |          0 |         26 |         79 |
| /home/paradise/tiny-lsm/toml11/tests/test_syntax_boolean.cpp                     | C++          |         22 |          0 |          7 |         29 |
| /home/paradise/tiny-lsm/toml11/tests/test_syntax_comment.cpp                     | C++          |         12 |          0 |          5 |         17 |
| /home/paradise/tiny-lsm/toml11/tests/test_syntax_datetime.cpp                    | C++          |        116 |          0 |         21 |        137 |
| /home/paradise/tiny-lsm/toml11/tests/test_syntax_floating.cpp                    | C++          |         84 |          2 |         14 |        100 |
| /home/paradise/tiny-lsm/toml11/tests/test_syntax_integer.cpp                     | C++          |         92 |          0 |         26 |        118 |
| /home/paradise/tiny-lsm/toml11/tests/test_syntax_key.cpp                         | C++          |         38 |          1 |         11 |         50 |
| /home/paradise/tiny-lsm/toml11/tests/test_syntax_string.cpp                      | C++          |        104 |          0 |         22 |        126 |
| /home/paradise/tiny-lsm/toml11/tests/test_traits.cpp                             | C++          |         78 |          0 |         12 |         90 |
| /home/paradise/tiny-lsm/toml11/tests/test_types.cpp                              | C++          |        122 |          0 |         16 |        138 |
| /home/paradise/tiny-lsm/toml11/tests/test_user_defined_conversion.cpp            | C++          |        638 |          8 |        122 |        768 |
| /home/paradise/tiny-lsm/toml11/tests/test_utility.cpp                            | C++          |        134 |          6 |         31 |        171 |
| /home/paradise/tiny-lsm/toml11/tests/test_value.cpp                              | C++          |        941 |         42 |        316 |      1,299 |
| /home/paradise/tiny-lsm/toml11/tests/test_visit.cpp                              | C++          |        150 |          0 |         12 |        162 |
| /home/paradise/tiny-lsm/toml11/tests/to_json.cpp                                 | C++          |        145 |          6 |         11 |        162 |
| /home/paradise/tiny-lsm/toml11/tests/to_toml.cpp                                 | C++          |        109 |          1 |          6 |        116 |
| /home/paradise/tiny-lsm/toml11/tests/utility.cpp                                 | C++          |        101 |          0 |          8 |        109 |
| /home/paradise/tiny-lsm/toml11/tests/utility.hpp                                 | C++          |         84 |          0 |         20 |        104 |
| /home/paradise/tiny-lsm/toml11/tools/expand/README.md                            | Markdown     |         10 |          0 |          5 |         15 |
| /home/paradise/tiny-lsm/toml11/tools/expand/main.cpp                             | C++          |        248 |         18 |         45 |        311 |
| /home/paradise/tiny-lsm/xmake.lua                                                | XMake        |        236 |          9 |         45 |        290 |
| Total                                                                            |              |     77,916 |      5,495 |     17,436 |    100,847 |
+----------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
